section,pass,question,duration_seconds,answer_length,source_count,cache_hit,temperature,status
"Performance","Pass 3: Practical Examples","What are the bottlenecks and how to address them?",22.97046709060669,1913,20,False,0.1,success
"Performance","Pass 4: Synthesis","Based on the following information about Performance; 
        create a comprehensive; well-structur...",0.014576911926269531,0,0,False,0.0,failed
"Deployment","Pass 1: Initial Overview","How do you deploy ecosystem-mcp?",25.197423696517944,1820,20,False,0.0,success
"Deployment","Pass 1: Initial Overview","What are the system requirements and dependencies?",29.14148712158203,1689,20,False,0.0,success
"Deployment","Pass 2: Deep Dive","Describe the Docker setup: containers; networking; volumes.",25.742971897125244,1447,25,False,0.0,success
"Deployment","Pass 2: Deep Dive","What environment variables need to be configured?",24.159615993499756,1733,25,False,0.0,success
"Deployment","Pass 2: Deep Dive","How to configure PostgreSQL; Redis; ChromaDB; and Ollama?",28.774780988693237,1994,25,False,0.0,success
"Deployment","Pass 2: Deep Dive","What ports are used and how to configure networking?",30.66673994064331,1882,25,False,0.0,success
"Deployment","Pass 2: Deep Dive","How to handle secrets and sensitive configuration?",19.56083607673645,1626,25,False,0.0,success
"Deployment","Pass 2: Deep Dive","What monitoring should be set up for production?",28.92819595336914,2470,25,False,0.0,success
"Deployment","Pass 3: Practical Examples","Provide step-by-step deployment instructions for local development.",19.653853178024292,1602,20,False,0.1,success
"Deployment","Pass 3: Practical Examples","Provide step-by-step deployment instructions for production.",33.87473487854004,3166,20,False,0.1,success
"Deployment","Pass 3: Practical Examples","Show docker-compose configuration examples.",27.273761987686157,1825,20,False,0.1,success
"Deployment","Pass 3: Practical Examples","What are common deployment issues and solutions?",29.2139630317688,2836,20,False,0.1,success
"Deployment","Pass 3: Practical Examples","How to scale horizontally for high availability?",22.27513289451599,2188,20,False,0.1,success
"Deployment","Pass 4: Synthesis","Based on the following information about Deployment; 
        create a comprehensive; well-structure...",0.015153169631958008,0,0,False,0.0,failed
"Development Guide","Pass 1: Initial Overview","How do you set up a development environment for ecosystem-mcp?",19.41602921485901,1484,20,False,0.0,success
"Development Guide","Pass 1: Initial Overview","What is the code structure and organization?",12.591775894165039,597,20,False,0.0,success
"Development Guide","Pass 2: Deep Dive","Describe the directory structure and what each directory contains.",25.332770109176636,2860,25,False,0.0,success
"Development Guide","Pass 2: Deep Dive","What are the key Python modules and their purposes?",13.302925109863281,1455,25,False,0.0,success
"Development Guide","Pass 2: Deep Dive","How is the codebase organized (services; repositories; models; etc.)?",18.085876941680908,1487,25,False,0.0,success
"Development Guide","Pass 2: Deep Dive","What testing strategy is used? Unit; integration; functional tests?",20.364748001098633,1736,25,False,0.0,success
"Development Guide","Pass 2: Deep Dive","How to add a new API endpoint?",16.455979108810425,1330,25,False,0.0,success
"Development Guide","Pass 2: Deep Dive","How to add a new caching layer?",29.045367002487183,2255,25,False,0.0,success
"Development Guide","Pass 2: Deep Dive","What are the coding standards and best practices?",20.532612085342407,1388,25,False,0.0,success
"Development Guide","Pass 3: Practical Examples","Show how to run tests locally.",18.106486082077026,859,20,False,0.1,success
"Development Guide","Pass 3: Practical Examples","Show how to debug the application.",33.12264609336853,2551,20,False,0.1,success
"Development Guide","Pass 3: Practical Examples","Provide examples of common development tasks.",23.1249520778656,1326,20,False,0.1,success
"Development Guide","Pass 3: Practical Examples","How to contribute: workflow; pull requests; code review?",23.914292812347412,1893,20,False,0.1,success
"Development Guide","Pass 4: Synthesis","Based on the following information about Development Guide; 
        create a comprehensive; well-st...",0.03419899940490723,0,0,False,0.0,failed
"Troubleshooting","Pass 1: Initial Overview","What are common issues with ecosystem-mcp?",19.864580869674683,1104,20,False,0.0,success
"Troubleshooting","Pass 1: Initial Overview","How do you diagnose problems?",30.711209297180176,2593,20,False,0.0,success
"Troubleshooting","Pass 2: Deep Dive","How to troubleshoot cache issues and verify cache is working?",32.05586814880371,2410,25,False,0.0,success
"Troubleshooting","Pass 2: Deep Dive","How to troubleshoot database connection problems?",25.045196771621704,1942,25,False,0.0,success
"Troubleshooting","Pass 2: Deep Dive","How to troubleshoot Redis connectivity?",23.00581407546997,1913,25,False,0.0,success
"Troubleshooting","Pass 2: Deep Dive","How to troubleshoot ChromaDB and vector search issues?",26.91269588470459,2617,25,False,0.0,success
"Troubleshooting","Pass 2: Deep Dive","How to troubleshoot Ollama and LLM generation problems?",21.60590386390686,1679,25,False,0.0,success
"Troubleshooting","Pass 2: Deep Dive","How to troubleshoot slow performance?",26.719861030578613,2223,25,False,0.0,success
"Troubleshooting","Pass 2: Deep Dive","How to troubleshoot memory or resource issues?",24.800777912139893,2169,25,False,0.0,success
"Troubleshooting","Pass 3: Practical Examples","What diagnostic commands and tools are available?",18.413393020629883,1353,20,False,0.1,success
"Troubleshooting","Pass 3: Practical Examples","How to check logs for each component?",18.2592875957489,1724,20,False,0.1,success
"Troubleshooting","Pass 3: Practical Examples","Show examples of common error messages and their solutions.",23.956032037734985,2247,20,False,0.1,success
"Troubleshooting","Pass 3: Practical Examples","What monitoring metrics should you watch?",16.919389963150024,1186,20,False,0.1,success
"Troubleshooting","Pass 4: Synthesis","Based on the following information about Troubleshooting; 
        create a comprehensive; well-stru...",0.020041942596435547,0,0,False,0.0,failed
